Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
080686010647,Vodka,1,1899,n,n,PINNACLE VODKA 80 PET,1.75LT,,n,1,1,1457,n,,6,,,,,,n,,,,,,,
080686010692,Vodka,1,849,n,n,-196 CKTL VOD LEM ZERO SUGAR CAN4P,355ML,,n,1,1,650,n,,1,,,,,,n,,,,,,,
080686010975,Tequila,1,1339,n,n,canadian club BB,750ml,n,n,1,1,1034,n,,3,,,,,,n,,,,,,,
080686011408,Whiskey,1,9099,n,n,BOOKERS NOE BBN/2025-3/JERRY124.7,750ML,,n,1,1,7000,n,,6,,,,,,n,,,,,,,
080686012122,Whiskey,1,1979,n,n,Basil Hayden,375ML,n,n,1,1,1520,n,,3,,,,,,n,,,,,,,
080686012146,Whiskey,1,5689,n,n,BASIL HAYDEN'S 750ML,750ML,n,n,1,1,4375,n,,3,,,,,,n,,,,,,,
080686012320,Whiskey,1,8319,n,n,Basil Hayden ,1.75L ,n,n,1,1,6450,n,,3,,,,,,n,,,,,,,
080686012344,Whiskey,1,5779,n,n,Basil Hayden,750ML,n,n,1,1,4375,n,,3,,,,,,n,,,,,,,
080686012405,Whiskey,1,4809,n,n,Basil Hayden's Whisky,750 ml,n,n,1,1,3700,n,,3,,,,,,n,,,,,,,
080686012504,Cocktail,1,979,n,n,OTR CKTL MARG SPK WTRMELON CAN6/4P,355ML,,n,1,1,750,n,,6,,,,,,n,,,,,,,
080686015406,Whiskey,1,0,n,n,Bakers 7Y,750ml,,n,1,1,5649,n,,0,,,,,,n,,,,,,,
080686016762,Whiskey,1,3659,n,n,KNOB CREEK BBN 100,750ML,n,n,1,1,2817,n,,6,,,,,,n,,,,,,,
080686016786,Whiskey,1,6599,n,n,Knob Creek BBM 12Y 100 ,750 ml,,n,1,1,5075,n,,3,,,,,,n,,,,,,,
080686016793,Whiskey,1,3819,n,n,Knob Creek BBN Smok Mapal,,n,n,1,1,2942,n,,3,,,,,,n,,,,,,,
080686016816,Whiskey,1,5459,n,n,KNOB CREEK SB RSV 9YR 120,750ML,n,n,1,1,4200,n,,6,,,,,,n,,,,,,,
080686016922,Whiskey,1,2199,n,n,Knob Creek Bourbon,375 ml,n,n,1,1,1525,n,,0,,,,,,n,,,,,,,
080686016946,Whiskey,1,7269,n,n,Knob Creek BBN 100,1.75 L,n,n,1,1,5590,n,,3,,,,,,n,,,,,,,
